tiling_key,verdict,evidence,source_citation,dim_IsEmptyTensor,dim_SplitAxis,dim_InputDType,dim_IsTnd,dim_IsDrop,dim_IsPse,dim_IsAttenMask,dim_S1TemplateNum,dim_S2TemplateNum,dim_DTemplateNum,dim_DeterType,dim_IsNEqual,dim_IsBn2MultiBlk,dim_IsDNoEqual,dim_IsRope,dim_OutDType,dim_IsNzOut,dim_IsTndSwizzle,dim_IsRegbase
18577351147787536,excluded,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128,"GetS1S2TemplateType's first branch is (queryType == ge::DT_FLOAT && d > NUM256), and it returns the fixed pair (NUM64, NUM128) (common_regbase.cpp:812-816). DTemplateNum is 768 exactly when !hasRope and d > NUM256 (common_regbase.cpp:847-866), and InputDType is FLOAT32 exactly when queryType is DT_FLOAT (common_regbase.cpp:1650-1651). So an fp32 key at DTemplateNum=768 has S1TemplateNum=64 and S2TemplateNum=128, and no other pair",0,0,1,0,1,0,1,128,128,768,0,0,0,0,0,1,0,0,1
18577351147787664,excluded,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128,"GetS1S2TemplateType's first branch is (queryType == ge::DT_FLOAT && d > NUM256), and it returns the fixed pair (NUM64, NUM128) (common_regbase.cpp:812-816). DTemplateNum is 768 exactly when !hasRope and d > NUM256 (common_regbase.cpp:847-866), and InputDType is FLOAT32 exactly when queryType is DT_FLOAT (common_regbase.cpp:1650-1651). So an fp32 key at DTemplateNum=768 has S1TemplateNum=64 and S2TemplateNum=128, and no other pair",0,0,1,1,1,0,1,128,128,768,0,0,0,0,0,1,0,0,1
18577351147787792,excluded,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128,"GetS1S2TemplateType's first branch is (queryType == ge::DT_FLOAT && d > NUM256), and it returns the fixed pair (NUM64, NUM128) (common_regbase.cpp:812-816). DTemplateNum is 768 exactly when !hasRope and d > NUM256 (common_regbase.cpp:847-866), and InputDType is FLOAT32 exactly when queryType is DT_FLOAT (common_regbase.cpp:1650-1651). So an fp32 key at DTemplateNum=768 has S1TemplateNum=64 and S2TemplateNum=128, and no other pair",0,0,1,0,0,1,1,128,128,768,0,0,0,0,0,1,0,0,1
18577351147787920,excluded,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128,"GetS1S2TemplateType's first branch is (queryType == ge::DT_FLOAT && d > NUM256), and it returns the fixed pair (NUM64, NUM128) (common_regbase.cpp:812-816). DTemplateNum is 768 exactly when !hasRope and d > NUM256 (common_regbase.cpp:847-866), and InputDType is FLOAT32 exactly when queryType is DT_FLOAT (common_regbase.cpp:1650-1651). So an fp32 key at DTemplateNum=768 has S1TemplateNum=64 and S2TemplateNum=128, and no other pair",0,0,1,1,0,1,1,128,128,768,0,0,0,0,0,1,0,0,1
18577351147788048,excluded,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128,"GetS1S2TemplateType's first branch is (queryType == ge::DT_FLOAT && d > NUM256), and it returns the fixed pair (NUM64, NUM128) (common_regbase.cpp:812-816). DTemplateNum is 768 exactly when !hasRope and d > NUM256 (common_regbase.cpp:847-866), and InputDType is FLOAT32 exactly when queryType is DT_FLOAT (common_regbase.cpp:1650-1651). So an fp32 key at DTemplateNum=768 has S1TemplateNum=64 and S2TemplateNum=128, and no other pair",0,0,1,0,1,1,1,128,128,768,0,0,0,0,0,1,0,0,1
18577351147788176,excluded,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128,"GetS1S2TemplateType's first branch is (queryType == ge::DT_FLOAT && d > NUM256), and it returns the fixed pair (NUM64, NUM128) (common_regbase.cpp:812-816). DTemplateNum is 768 exactly when !hasRope and d > NUM256 (common_regbase.cpp:847-866), and InputDType is FLOAT32 exactly when queryType is DT_FLOAT (common_regbase.cpp:1650-1651). So an fp32 key at DTemplateNum=768 has S1TemplateNum=64 and S2TemplateNum=128, and no other pair",0,0,1,1,1,1,1,128,128,768,0,0,0,0,0,1,0,0,1
18579548023558160,witnessed,vg_R.txt,,0,0,1,0,0,0,0,128,128,64,1,0,0,0,0,1,0,0,1
18579548023558288,witnessed,vg_R.txt,,0,0,1,1,0,0,0,128,128,64,1,0,0,0,0,1,0,0,1
18579548023558416,witnessed,vg_R.txt,,0,0,1,0,1,0,0,128,128,64,1,0,0,0,0,1,0,0,1
18579548023558544,witnessed,vg_R.txt,,0,0,1,1,1,0,0,128,128,64,1,0,0,0,0,1,0,0,1
18579548023558672,witnessed,vg_R.txt,,0,0,1,0,0,1,0,128,128,64,1,0,0,0,0,1,0,0,1
18579548023558800,witnessed,vg_R.txt,,0,0,1,1,0,1,0,128,128,64,1,0,0,0,0,1,0,0,1
18579548023558928,witnessed,vg_R.txt,,0,0,1,0,1,1,0,128,128,64,1,0,0,0,0,1,0,0,1
18579548023559056,witnessed,vg_R.txt,,0,0,1,1,1,1,0,128,128,64,1,0,0,0,0,1,0,0,1
18579548023559184,witnessed,vg_R.txt,,0,0,1,0,0,0,1,128,128,64,1,0,0,0,0,1,0,0,1
18579548023559312,witnessed,vg_R.txt,,0,0,1,1,0,0,1,128,128,64,1,0,0,0,0,1,0,0,1
18579548023559440,witnessed,vg_R.txt,,0,0,1,0,1,0,1,128,128,64,1,0,0,0,0,1,0,0,1
18579548023559568,witnessed,vg_R.txt,,0,0,1,1,1,0,1,128,128,64,1,0,0,0,0,1,0,0,1
18579548023559696,witnessed,vg_R.txt,,0,0,1,0,0,1,1,128,128,64,1,0,0,0,0,1,0,0,1
18579548023559824,witnessed,vg_R.txt,,0,0,1,1,0,1,1,128,128,64,1,0,0,0,0,1,0,0,1
18579548023559952,witnessed,vg_R.txt,,0,0,1,0,1,1,1,128,128,64,1,0,0,0,0,1,0,0,1
18579548023560080,witnessed,vg_R.txt,,0,0,1,1,1,1,1,128,128,64,1,0,0,0,0,1,0,0,1
18579548560429072,witnessed,vg_R.txt,,0,0,1,0,0,0,0,128,128,128,1,0,0,0,0,1,0,0,1
18579548560429200,witnessed,vg_R.txt,,0,0,1,1,0,0,0,128,128,128,1,0,0,0,0,1,0,0,1
18579548560429328,witnessed,vg_R.txt,,0,0,1,0,1,0,0,128,128,128,1,0,0,0,0,1,0,0,1
18579548560429456,witnessed,vg_R.txt,,0,0,1,1,1,0,0,128,128,128,1,0,0,0,0,1,0,0,1
18579548560429584,witnessed,vg_R.txt,,0,0,1,0,0,1,0,128,128,128,1,0,0,0,0,1,0,0,1
18579548560429712,witnessed,vg_R.txt,,0,0,1,1,0,1,0,128,128,128,1,0,0,0,0,1,0,0,1
18579548560429840,witnessed,vg_R.txt,,0,0,1,0,1,1,0,128,128,128,1,0,0,0,0,1,0,0,1
18579548560429968,witnessed,vg_R.txt,,0,0,1,1,1,1,0,128,128,128,1,0,0,0,0,1,0,0,1
18579548560430096,witnessed,vg_R.txt,,0,0,1,0,0,0,1,128,128,128,1,0,0,0,0,1,0,0,1
18579548560430224,witnessed,vg_R.txt,,0,0,1,1,0,0,1,128,128,128,1,0,0,0,0,1,0,0,1
18579548560430352,witnessed,vg_R.txt,,0,0,1,0,1,0,1,128,128,128,1,0,0,0,0,1,0,0,1
18579548560430480,witnessed,vg_R.txt,,0,0,1,1,1,0,1,128,128,128,1,0,0,0,0,1,0,0,1
18579548560430608,witnessed,vg_R.txt,,0,0,1,0,0,1,1,128,128,128,1,0,0,0,0,1,0,0,1
18579548560430736,witnessed,vg_R.txt,,0,0,1,1,0,1,1,128,128,128,1,0,0,0,0,1,0,0,1
