tiling_key,verdict,evidence,source_citation,dim_IsEmptyTensor,dim_SplitAxis,dim_InputDType,dim_IsTnd,dim_IsDrop,dim_IsPse,dim_IsAttenMask,dim_S1TemplateNum,dim_S2TemplateNum,dim_DTemplateNum,dim_DeterType,dim_IsNEqual,dim_IsBn2MultiBlk,dim_IsDNoEqual,dim_IsRope,dim_OutDType,dim_IsNzOut,dim_IsTndSwizzle,dim_IsRegbase,kernel_branches,tilingdata_fields
19325016907190948,excluded,DeterType=4 requires IsAttenMask=1,ProcessSparseModeInfo + GetTilingKey: new deter sparse needs atten mask; without mask host packs DeterType!=3/4,0,5,2,1,0,1,0,128,128,64,4,1,0,1,0,2,0,0,1,,
19325016907191072,excluded,DeterType=4 requires IsAttenMask=1,ProcessSparseModeInfo + GetTilingKey: new deter sparse needs atten mask; without mask host packs DeterType!=3/4,0,0,2,0,1,1,0,128,128,64,4,1,0,1,0,2,0,0,1,,
19325016907191200,excluded,DeterType=4 requires IsAttenMask=1,ProcessSparseModeInfo + GetTilingKey: new deter sparse needs atten mask; without mask host packs DeterType!=3/4,0,0,2,1,1,1,0,128,128,64,4,1,0,1,0,2,0,0,1,,
19325016907191204,excluded,DeterType=4 requires IsAttenMask=1,ProcessSparseModeInfo + GetTilingKey: new deter sparse needs atten mask; without mask host packs DeterType!=3/4,0,5,2,1,1,1,0,128,128,64,4,1,0,1,0,2,0,0,1,,
19325016907191328,witnessed,carried,,0,0,2,0,0,0,1,128,128,64,4,1,0,1,0,2,0,0,1,,
19325016907191456,witnessed,carried,,0,0,2,1,0,0,1,128,128,64,4,1,0,1,0,2,0,0,1,,
19325016907191460,witnessed,carried,,0,5,2,1,0,0,1,128,128,64,4,1,0,1,0,2,0,0,1,,
19325016907191584,witnessed,carried,,0,0,2,0,1,0,1,128,128,64,4,1,0,1,0,2,0,0,1,,
19325016907191712,witnessed,carried,,0,0,2,1,1,0,1,128,128,64,4,1,0,1,0,2,0,0,1,,
19325016907191716,witnessed,carried,,0,5,2,1,1,0,1,128,128,64,4,1,0,1,0,2,0,0,1,,
19325016907191840,witnessed,carried,,0,0,2,0,0,1,1,128,128,64,4,1,0,1,0,2,0,0,1,,
19325016907191968,witnessed,carried,,0,0,2,1,0,1,1,128,128,64,4,1,0,1,0,2,0,0,1,,
19325016907191972,witnessed,carried,,0,5,2,1,0,1,1,128,128,64,4,1,0,1,0,2,0,0,1,,
19325016907192096,witnessed,carried,,0,0,2,0,1,1,1,128,128,64,4,1,0,1,0,2,0,0,1,,
19325016907192224,witnessed,carried,,0,0,2,1,1,1,1,128,128,64,4,1,0,1,0,2,0,0,1,,
19325016907192228,witnessed,carried,,0,5,2,1,1,1,1,128,128,64,4,1,0,1,0,2,0,0,1,,
19325017444061216,excluded,DeterType=4 requires IsAttenMask=1,ProcessSparseModeInfo + GetTilingKey: new deter sparse needs atten mask; without mask host packs DeterType!=3/4,0,0,2,0,0,0,0,128,128,128,4,1,0,1,0,2,0,0,1,,
19325017444061344,excluded,DeterType=4 requires IsAttenMask=1,ProcessSparseModeInfo + GetTilingKey: new deter sparse needs atten mask; without mask host packs DeterType!=3/4,0,0,2,1,0,0,0,128,128,128,4,1,0,1,0,2,0,0,1,,
19325017444061348,excluded,DeterType=4 requires IsAttenMask=1,ProcessSparseModeInfo + GetTilingKey: new deter sparse needs atten mask; without mask host packs DeterType!=3/4,0,5,2,1,0,0,0,128,128,128,4,1,0,1,0,2,0,0,1,,
