key,rules
18718088636141840,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18718088636141968,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18718088636142096,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18718088636142224,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18718088636142352,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18718088636142480,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18718088636142608,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18718088636142736,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18718088636142864,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18718088636142992,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18718088636143120,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18718088636143248,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18718088636143376,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18718088636143504,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18720287659397136,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18720287659397264,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18720287659397392,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18720287659397520,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18720287659397648,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18720287659397776,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18720287659397904,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18720287659398032,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18720287659398160,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18720287659398288,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18720287659398416,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18720287659398544,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18720287659398672,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18720287659398800,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18720287659398928,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18720287659399056,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18722486682652688,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18722486682652816,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18722486682652944,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18722486682653072,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18722486682653200,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18722486682653328,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18722486682653456,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18722486682653584,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18722486682653712,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18722486682653840,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18722486682653968,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18722486682654096,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18722486682654224,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18722486682654352,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18722486682654480,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18722486682654608,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18724683558424592,IsAttenMask=0 + DeterType=3
18724683558424720,IsAttenMask=0 + DeterType=3
18724683558424848,IsAttenMask=0 + DeterType=3
18724683558424976,IsAttenMask=0 + DeterType=3
18724683558425104,IsAttenMask=0 + DeterType=3
18724683558425232,IsAttenMask=0 + DeterType=3
18724683558425360,IsAttenMask=0 + DeterType=3
18724683558425488,IsAttenMask=0 + DeterType=3
18724684095295504,IsAttenMask=0 + DeterType=3
18724684095295632,IsAttenMask=0 + DeterType=3
18724684095295760,IsAttenMask=0 + DeterType=3
18724684095295888,IsAttenMask=0 + DeterType=3
18724684095296016,IsAttenMask=0 + DeterType=3
18724684095296144,IsAttenMask=0 + DeterType=3
18724684095296272,IsAttenMask=0 + DeterType=3
18724684095296400,IsAttenMask=0 + DeterType=3
18724684632166416,IsAttenMask=0 + DeterType=3
18724684632166544,IsAttenMask=0 + DeterType=3
18724684632166672,IsAttenMask=0 + DeterType=3
18724684632166800,IsAttenMask=0 + DeterType=3
18724684632166928,IsAttenMask=0 + DeterType=3
18724684632167056,IsAttenMask=0 + DeterType=3
18724684632167184,IsAttenMask=0 + DeterType=3
18724684632167312,IsAttenMask=0 + DeterType=3
18724685169037328,IsAttenMask=0 + DeterType=3
18724685169037456,IsAttenMask=0 + DeterType=3
18724685169037584,IsAttenMask=0 + DeterType=3
18724685169037712,IsAttenMask=0 + DeterType=3
18724685169037840,IsAttenMask=0 + DeterType=3
18724685169037968,IsAttenMask=0 + DeterType=3
18724685169038096,IsAttenMask=0 + DeterType=3
18724685169038224,IsAttenMask=0 + DeterType=3
18724685705906192,IsAttenMask=0 + DeterType=3
18724685705906320,IsAttenMask=0 + DeterType=3
18724685705906448,IsAttenMask=0 + DeterType=3
18724685705906576,IsAttenMask=0 + DeterType=3
18724685705906704,IsAttenMask=0 + DeterType=3
18724685705906832,IsAttenMask=0 + DeterType=3
18724685705906960,IsAttenMask=0 + DeterType=3
18724685705907088,IsAttenMask=0 + DeterType=3
18724685705908240,IsAttenMask=0 + DeterType=3 | InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18724685705908368,IsAttenMask=0 + DeterType=3 | InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
